lead_id,nombre,telefono,categoria,direccion,puntaje,resenas,score,filter_reason,enviado,fecha_envio,estado_respuesta,fecha_respuesta,project_path,live_url,enviado_links,fecha_envio_links,fecha_entrega,fecha_renovacion_web,fecha_renovacion_hosting,fecha_renovacion_mantenimiento,notas
,Coqui Pendino,+54 341 510-0002,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T16:00:52.250204,,,,,,,,,,,
,Tienda de sillones LA SILLONERÍA,+54 341 212-0471,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T16:01:20.673206,,,,,,,,,,,
,Fimos Muebles y Deco,+54 341 377-6175,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T16:01:52.341793,,,,,,,,,,,
manual-kopp,Kopp Amoblamientos,manual-1781906970703,Muebles,Rosario,,,,,SI,,interest,,,https://koppamoblamientos.com,SI,,2026-04-16,,,2026-06-16,6 cuotas de $34.500 ARS sin interés (total $150 USD). Cuotas 1 y 2 abonadas. Debe cuota 3 de 6. Post-pago: $5 USD/mes.
manual-ang,Ang Garden's,manual-1781907128288,Jardinería,Rosario,,,,,SI,,interest,,,,SI,,2026-06-10,,,2026-06-10,Pago único. Renovación mensual día 10.
3336b957cbdd9295052ff7b29a54bd5307b04bac6f668dcffcc063e34b943807,España Amoblamientos,+54 341 377-2892,Tienda de muebles,San Juan 1116,4.7,11,84,sin_website,SI,2026-06-22T19:14:41.326265,,,/home/aguszz/pipeline-automated-update-test/websites/espaa_amoblamientos,https://espaa-amoblamientos-qpz1wvjmk-agusz-sources-projects.vercel.app,SI,2026-06-23T14:31:42.970963,,,,,
1e2cffccad86728e26be14de4a15ba7e111e1a96492dd3007d5eba20edcdb5b3,MOK Amoblamientos,+54 341 572-3047,Fábrica de muebles,Milán 2023,5,6,84,sin_website,SI,2026-06-22T19:15:17.789366,,,,,,,,,,,
58d236064421d741f4ce6422d5458dfb2a1fb58b9a98d0710f9b22c2672d06cf,ENCON Amoblamientos de Cocina y Vanitorys en Acero Inoxidable,+54 341 464-0545,Tienda de muebles de cocina,"DEM, Lamadrid 2839",4.7,15,84,sin_website,SI,2026-06-22T19:16:14.966325,,,,,,,,,,,
bef54863310de66180086fee6c7034c58811df3234d717e0d81ce7a271f762b4,UNTEC AMOBLAMIENTOS,+54 341 510-4277,Fábrica de muebles,De Amicis 566,5,112,83,solo_redes_sociales,SI,2026-06-22T19:16:42.107360,,,,,,,,,,,
e3364e3771d7e3abfc8343aafa844a23529ec27aa0f36f6b87ba2349d45d3f1c,NIG Amoblamientos,+54 341 369-8689,Carpintería,Av. Ntra Sra del Rosario,5,2,81,sin_website,SI,2026-06-22T19:17:11.909304,,,/home/aguszz/pipeline-automated-update-test/websites/nig_amoblamientos,https://nig-amoblamientos-4o8bk860m-agusz-sources-projects.vercel.app,SI,2026-06-23T14:32:11.879959,,,,,
c1437dc473d45128bbf3433c8b5892c981eb75cdc3f7b41c027aa334063b4131,Katz Amoblamientos - Fábrica de Sillas / Cuchetas / Pupitres / Mesas / Muebles,+54 9 341 502-4608,Fábrica,Las Flores 3455,4.9,36,75,sin_website,SI,2026-06-22T19:17:40.833345,,,,,,,,,,,
70689cd6a351a859867413e1828d44c5b0d737fa6979dcaec834a381c642b934,Sara Design Carpinteria,+54 9 341 655-3055,Carpintería,Laprida 2726,4.7,19,72,solo_redes_sociales,SI,2026-06-22T19:18:45.204642,,,,,,,,,,,
494cc9310cb3f63fb432eaabee3da1fc74cd1ac21d7707af7188236881992c30,MADIMOF muebles a medida,+54 341 334-8179,Fábrica de muebles,Urquiza 4401,5,14,69,solo_redes_sociales,SI,2026-06-22T19:19:17.025351,,,,,,,,,,,
6c4ece6f4c83b143947a7d84602a7b7d380a525b478567511553af32bfeca153,Imagine Mobiliario,+54 341 247-5933,Tienda de muebles,Francia 3652,4.5,,66,sin_website,SI,2026-06-22T19:19:48.722979,,,,,,,,,,,
8f98155d206ec79ca665618a373697ba4f1ff10e0b94781c0ae418ff3cdffc7d,Amoblamientos Samarino,+54 341 690-3222,Fábrica,Nicaragua 326 bis,4.5,,59,sin_website,SI,2026-06-22T19:20:16.655318,,,,,,,,,,,
399a777f484c3a20043cc6b61f408a9cdc77fdecbc82dabe48c290ff9b34a82c,Rústico muebles,+54 341 454-4981,Fábrica,Pedro T. de Larrechea 1730,4.5,,54,sin_website,SI,2026-06-22T19:21:12.115362,,,,,,,,,,,
16e74541802e3b50c511bed6e8120933f971569246e049a7c2e9ed185e67f3d2,Baumo - Taller de muebles,+54 341 645-3916,,Jacobacci 9268,4.5,,42,solo_redes_sociales,SI,2026-06-22T19:21:39.871337,,,,,,,,,,,
ac1e1185f78c587688092f6cc6cb611aa6de74af31e22e75863c51ba1fe0fe38,Ayolas Muebles.,+54 341 613-1108,Tienda de muebles,Uruguay 1190,4.3,236,75,solo_redes_sociales,SI,2026-06-24T15:42:51.836999,,,,,,,,,,,
15f6628ba39eae5d0ac93713aa895b8184893e09910d640b4846722c8fcad54d,Muebleria Rewe - Muebles de PINO - Rosario,+54 4331638,Tienda de muebles de pino,Av. Pres. Perón 5966,4.8,72,73,solo_redes_sociales,SI,2026-06-24T15:43:29.719036,,,,,,,,,,,
b96082f92c8f5544c3c68736d7944cccab2ea3431e7917ef6154383089353798,El carpintero Rosario,+54 341 323-4939,Tienda de muebles,Dr. Francisco Riva 620,4.9,13,79,sin_website,SI,2026-06-24T15:56:13.673335,,,,,,,,,,,
072ec96a3b1402ab7caaae6cb80dffb76d759b7f9ba306cf1a78394df5aff221,Fagnani - Muebles de Pino,+54 341 377-7889,Tienda de muebles,Juan José Paso 6724,4.4,254,75,solo_redes_sociales,SI,2026-06-24T15:56:46.601991,,,,,,,,,,,
